Claim ID,Payer,Service Type,Claim Volume,Processing Time (days),Authorization Requests,Authorization Turnaround Time (days),Claim Resubmission Rates (%),Administrative Staff Turnover Rate (%),Cost Per Authorization ($),Revenue Cycle Time (days),Payment Discrepancies ($),Patient Wait Times (days),Patient Retention Rates (%),Patient Health Outcomes (scale 1-10),Data Completeness (%),Data Timeliness (days),User Adoption Rates (%),Payer Response Time (days),Payer Reimbursement Rates (%),Payer Policy Change Frequency (times/year),System Downtime (hours),System Response Time (seconds),Integration Success Rates (%),Training Hours,Resource Utilization Rates (%),Staff Satisfaction (scale 1-10),Date
2448.0,Payer C,Radiology,146.0,26.0,,24.0,13.94,10.77,118.58,50.0,1345.27,9.0,70.32,8.0,99.96,1.0,,12.0,99.31,1.0,2.0,4.26,80.68,24.0,87.47,9.0,2021-10-12
2449.0,Payer B,Cardiology,104.0,35.0,68.0,23.0,10.12,12.05,80.62,31.0,30000.0,11.0,92.39,6.0,88.24,1.0,70.35,27.0,80.49,3.0,,3.5,83.98,29.0,58.69,8.0,2021-03-15
2450.0,Payer A,Cardiology,119.0,39.0,55.0,14.0,18.21,,64.86,32.0,30000.0,,,6.0,,2.0,84.93,10.0,84.2,2.0,4.0,1.72,97.18,38.0,,9.0,2020-06-21
2451.0,Payer A,Surgery,233.0,,33.0,29.0,12.29,7.22,92.28,52.0,3495.45,5.0,82.55,,,3.0,67.13,34.0,80.93,3.0,20.0,4.17,82.42,45.0,50.06,,2022-07-29
2452.0,Payer C,Cardiology,297.0,20.0,74.0,6.0,20.72,11.74,146.42,55.0,3783.03,8.0,84.57,8.0,91.76,,73.84,,65.53,3.0,2.0,4.6,83.02,37.0,51.04,9.0,2021-10-30
2453.0,Payer C,Surgery,158.0,36.0,41.0,8.0,,6.04,91.14,58.0,30000.0,14.0,91.05,5.0,99.24,1.0,65.83,36.0,59.63,2.0,4.0,3.54,90.24,17.0,63.1,,2020-06-10
2454.0,Payer A,Surgery,291.0,20.0,,28.0,7.33,,84.73,44.0,4260.58,10.0,,5.0,82.07,3.0,87.42,29.0,,1.0,2.0,2.1,76.2,23.0,80.74,8.0,2021-08-29
2455.0,Payer C,Oncology,245.0,120.0,50.0,10.0,9.09,9.93,94.45,36.0,30000.0,13.0,84.01,6.0,82.43,3.0,72.23,15.0,,3.0,2.0,1.72,96.15,42.0,54.17,9.0,2022-05-07
2456.0,Payer C,,231.0,32.0,48.0,11.0,,8.81,51.21,33.0,4476.0,,74.53,,94.04,2.0,66.37,18.0,52.8,,20.0,1.93,82.83,43.0,65.31,8.0,2020-01-20
2457.0,Payer C,Radiology,116.0,28.0,50.0,20.0,,6.85,63.31,41.0,,14.0,85.99,9.0,93.34,4.0,80.76,13.0,,3.0,0.0,1.07,97.92,38.0,55.26,8.0,
2458.0,Payer B,Oncology,113.0,,47.0,11.0,7.95,8.55,134.97,30.0,4474.3,9.0,71.91,6.0,85.01,1.0,67.34,16.0,,3.0,3.0,1.04,78.14,31.0,58.94,,2021-08-04
2459.0,Payer B,Surgery,112.0,22.0,72.0,22.0,8.2,,147.8,46.0,30000.0,13.0,85.88,8.0,96.26,4.0,88.31,32.0,,,0.0,2.19,83.97,12.0,70.12,5.0,2021-02-05
2460.0,Payer C,Surgery,234.0,33.0,32.0,,5.28,9.99,65.79,33.0,1974.03,12.0,90.22,8.0,,3.0,71.03,38.0,93.01,1.0,1.0,4.69,93.34,32.0,62.77,,2021-12-12
2461.0,Payer C,Radiology,227.0,30.0,78.0,26.0,20.64,11.75,103.55,33.0,1360.03,11.0,78.83,9.0,98.51,3.0,79.94,39.0,52.38,3.0,1.0,3.49,86.68,12.0,58.48,6.0,2023-10-28
,Payer B,Surgery,,31.0,73.0,23.0,21.25,14.68,146.63,51.0,30000.0,14.0,71.78,,84.02,2.0,70.36,31.0,88.18,3.0,4.0,2.54,,15.0,65.74,,2020-11-03
2463.0,Payer B,,218.0,,,13.0,8.24,6.44,65.66,52.0,4559.84,,87.31,7.0,81.63,4.0,84.22,34.0,83.35,1.0,,1.04,78.42,49.0,78.04,5.0,
2464.0,Payer A,Oncology,242.0,32.0,39.0,24.0,,13.73,68.63,54.0,2870.16,13.0,,8.0,,4.0,86.91,20.0,60.19,3.0,0.0,4.96,79.85,32.0,54.78,6.0,2023-09-30
,,,118.0,20.0,,14.0,13.67,,142.68,38.0,,12.0,76.23,7.0,83.76,2.0,83.64,35.0,86.71,3.0,3.0,2.82,85.23,21.0,69.18,8.0,2023-07-23
2466.0,Payer B,Surgery,,29.0,44.0,17.0,9.79,10.91,120.57,55.0,2308.71,14.0,87.23,,90.54,4.0,85.45,32.0,74.82,1.0,2.0,4.97,76.07,14.0,60.99,6.0,2023-09-11
2467.0,Payer C,Radiology,262.0,22.0,34.0,22.0,17.43,10.47,65.2,57.0,2358.28,14.0,94.24,9.0,,2.0,63.06,12.0,74.05,2.0,3.0,3.88,73.79,14.0,65.14,9.0,2021-07-02
2468.0,Payer C,Cardiology,180.0,,33.0,20.0,,10.57,89.35,57.0,,13.0,88.63,6.0,89.82,2.0,87.72,25.0,74.15,3.0,0.0,1.2,95.31,,82.86,9.0,2022-11-05
2469.0,Payer C,Surgery,262.0,,57.0,26.0,20.14,12.23,55.63,50.0,2703.27,,,6.0,93.21,3.0,78.73,15.0,97.46,,0.0,4.44,93.25,13.0,87.19,8.0,2020-07-01
2470.0,Payer C,Radiology,246.0,120.0,33.0,21.0,5.95,8.82,93.27,39.0,4159.06,13.0,85.01,,87.3,3.0,86.08,16.0,97.22,2.0,0.0,3.12,97.96,33.0,59.72,8.0,2022-05-17
2471.0,Payer A,Surgery,247.0,35.0,44.0,26.0,24.18,8.19,127.79,56.0,1946.57,,,5.0,80.56,3.0,80.53,21.0,,2.0,4.0,2.81,87.6,14.0,75.2,9.0,2023-05-01
2472.0,Payer B,Radiology,199.0,36.0,46.0,17.0,,13.53,105.4,48.0,4795.2,11.0,90.33,9.0,99.48,2.0,,16.0,94.34,,1.0,,82.61,40.0,77.07,5.0,2022-11-03
,Payer C,Radiology,262.0,38.0,73.0,16.0,16.59,7.2,114.74,48.0,30000.0,5.0,85.11,,96.39,3.0,78.29,38.0,51.88,1.0,0.0,4.1,73.09,44.0,83.7,6.0,
2474.0,Payer A,Cardiology,259.0,120.0,32.0,14.0,23.04,6.8,,44.0,4037.29,13.0,94.15,5.0,81.47,1.0,,31.0,70.03,3.0,2.0,,95.51,28.0,85.96,8.0,2022-03-16
2475.0,Payer C,Surgery,221.0,35.0,39.0,5.0,5.24,5.16,66.14,51.0,1358.06,13.0,94.49,5.0,88.98,1.0,80.87,28.0,94.74,2.0,20.0,4.04,83.69,17.0,68.72,8.0,2020-08-23
,Payer B,Cardiology,275.0,34.0,76.0,,14.97,7.11,51.31,46.0,2970.66,,78.86,9.0,92.7,3.0,72.27,31.0,87.76,,1.0,3.57,86.83,37.0,89.3,,
2477.0,Payer A,Radiology,143.0,21.0,71.0,25.0,12.0,10.19,132.13,36.0,4604.15,9.0,94.71,6.0,,2.0,,25.0,72.83,1.0,4.0,3.7,79.41,47.0,88.83,6.0,2021-05-17
2478.0,Payer B,Oncology,203.0,30.0,52.0,26.0,,,113.67,32.0,4508.15,12.0,93.92,8.0,91.56,,89.38,,88.66,,3.0,4.43,85.72,32.0,70.26,,2020-09-11
,Payer B,Surgery,251.0,20.0,47.0,,9.51,7.54,72.93,34.0,1187.26,10.0,86.0,5.0,90.67,3.0,87.03,19.0,60.41,1.0,,3.76,,16.0,,8.0,2021-01-11
,Payer A,Oncology,160.0,34.0,30.0,6.0,6.3,5.72,,45.0,2214.79,14.0,78.34,8.0,84.17,,86.81,38.0,79.99,2.0,1.0,1.41,91.37,,76.71,8.0,2023-08-31
2481.0,Payer A,Surgery,224.0,38.0,64.0,20.0,17.52,12.45,130.14,52.0,2773.28,,88.83,8.0,82.82,1.0,83.66,10.0,76.65,1.0,0.0,,,22.0,64.95,9.0,2023-08-23
2482.0,Payer A,Cardiology,244.0,23.0,60.0,16.0,13.34,12.58,103.87,36.0,1689.06,,76.78,9.0,95.18,1.0,80.76,17.0,,2.0,2.0,1.68,84.87,30.0,76.48,6.0,2023-02-06
2483.0,Payer A,Cardiology,170.0,30.0,,13.0,,14.98,80.02,45.0,3919.99,7.0,85.75,6.0,86.45,4.0,79.65,12.0,86.09,1.0,20.0,1.06,85.89,46.0,,5.0,2023-07-22
2484.0,Payer A,Cardiology,,24.0,30.0,7.0,9.21,14.0,76.72,38.0,1738.05,11.0,70.61,9.0,84.88,1.0,63.18,39.0,97.49,1.0,2.0,1.86,71.58,15.0,51.42,9.0,2023-09-03
2485.0,Payer A,Cardiology,149.0,22.0,32.0,26.0,11.77,14.26,71.76,30.0,,10.0,85.71,5.0,94.76,3.0,87.02,25.0,63.2,1.0,1.0,1.62,,19.0,84.11,,2022-02-05
2486.0,Payer A,Cardiology,,32.0,32.0,25.0,16.23,12.98,132.37,32.0,3653.12,9.0,93.79,6.0,94.72,1.0,86.43,33.0,87.9,1.0,2.0,1.41,97.66,36.0,87.62,8.0,2023-06-22
,Payer C,Oncology,198.0,29.0,66.0,8.0,16.86,11.16,108.19,,2928.36,8.0,75.88,7.0,85.53,3.0,82.44,12.0,82.26,2.0,0.0,1.86,80.51,35.0,51.05,5.0,2021-02-25
,Payer B,Cardiology,131.0,30.0,48.0,6.0,12.45,6.29,120.92,37.0,3954.28,9.0,89.45,6.0,97.45,1.0,87.82,11.0,84.76,3.0,0.0,,92.98,37.0,81.57,5.0,2020-05-10
2489.0,Payer A,Radiology,263.0,37.0,58.0,12.0,10.6,11.22,136.01,47.0,,8.0,77.34,,93.77,1.0,76.59,21.0,71.45,3.0,3.0,1.61,99.33,25.0,65.43,9.0,2022-08-01
2490.0,,Radiology,,21.0,54.0,14.0,10.47,5.56,148.69,53.0,1466.19,7.0,87.7,9.0,86.92,4.0,73.43,17.0,,1.0,4.0,2.12,,37.0,73.43,8.0,2023-12-19
2491.0,Payer C,Oncology,297.0,26.0,62.0,20.0,8.49,13.85,74.95,53.0,30000.0,11.0,87.5,8.0,88.55,1.0,89.04,28.0,73.98,3.0,3.0,,80.02,12.0,70.0,,2023-03-14
2492.0,Payer C,Surgery,157.0,28.0,65.0,27.0,11.51,9.82,68.09,47.0,30000.0,10.0,74.62,7.0,94.53,3.0,73.92,,56.08,1.0,1.0,4.55,84.23,10.0,72.05,,2023-09-28
2493.0,Payer B,Radiology,227.0,29.0,58.0,15.0,,11.97,96.2,53.0,2657.91,8.0,84.93,6.0,84.23,4.0,79.24,27.0,84.03,3.0,2.0,2.33,77.12,12.0,69.81,5.0,2020-08-06
2494.0,Payer A,Surgery,,37.0,,,17.68,5.52,53.51,48.0,1131.45,13.0,91.48,7.0,89.38,4.0,71.19,29.0,56.44,1.0,,4.6,70.37,,,,2020-07-15
2495.0,Payer C,Oncology,264.0,26.0,33.0,,16.38,10.34,129.17,36.0,30000.0,5.0,79.56,8.0,93.07,1.0,79.09,,66.13,3.0,0.0,3.34,84.06,28.0,77.34,7.0,2021-08-17
2496.0,Payer B,Surgery,211.0,120.0,78.0,18.0,12.65,8.01,138.38,,2279.11,5.0,87.76,7.0,90.79,1.0,81.6,24.0,61.4,3.0,0.0,1.91,,42.0,66.51,6.0,2022-02-21
2497.0,Payer B,Surgery,167.0,22.0,43.0,12.0,11.52,7.85,,54.0,2367.94,13.0,86.86,,92.17,2.0,78.74,26.0,76.95,1.0,,4.02,88.76,17.0,77.54,7.0,2021-09-09
2498.0,Payer B,Surgery,,31.0,79.0,27.0,,8.9,76.8,49.0,4598.34,11.0,76.44,6.0,90.92,1.0,75.44,27.0,67.38,3.0,,4.69,94.82,28.0,88.6,6.0,2021-11-26
2499.0,Payer C,Surgery,286.0,26.0,56.0,,15.71,5.01,62.32,56.0,3967.25,6.0,92.97,7.0,83.98,2.0,69.0,27.0,57.99,1.0,4.0,3.64,77.59,45.0,,7.0,2022-04-23
2500.0,Payer A,Oncology,,36.0,62.0,21.0,23.38,9.67,88.21,35.0,30000.0,,84.09,8.0,88.2,3.0,79.32,18.0,89.54,3.0,3.0,1.81,71.83,46.0,65.52,6.0,2023-01-06
2501.0,,Radiology,,20.0,51.0,25.0,18.71,9.87,133.33,54.0,3396.29,9.0,78.88,,90.64,1.0,87.25,35.0,73.42,2.0,3.0,1.34,72.7,14.0,84.82,5.0,
2502.0,Payer C,Cardiology,231.0,24.0,77.0,22.0,19.89,13.63,84.78,56.0,1966.85,8.0,74.11,5.0,95.6,1.0,60.21,14.0,72.72,2.0,0.0,1.92,84.92,43.0,79.56,7.0,2023-01-23
2503.0,Payer A,Surgery,272.0,35.0,32.0,10.0,,9.49,53.43,,2310.62,5.0,81.84,9.0,93.08,2.0,64.02,20.0,94.32,2.0,0.0,2.35,97.67,47.0,87.4,6.0,
2504.0,,Radiology,189.0,34.0,52.0,,12.03,8.64,77.43,34.0,2279.34,13.0,88.25,5.0,88.53,2.0,63.59,38.0,76.94,1.0,2.0,2.33,99.47,36.0,51.59,8.0,2021-05-29
2505.0,Payer A,Radiology,127.0,,50.0,,6.26,14.95,148.99,41.0,,10.0,85.59,6.0,99.49,4.0,87.7,13.0,85.49,1.0,,2.99,76.15,48.0,84.51,9.0,
2506.0,Payer B,Oncology,195.0,28.0,70.0,27.0,17.45,10.71,117.67,30.0,3691.86,,88.18,9.0,82.16,4.0,79.88,35.0,66.4,1.0,3.0,3.02,74.56,33.0,81.67,7.0,2023-03-27
2507.0,Payer A,Radiology,293.0,26.0,52.0,7.0,8.77,9.73,140.09,48.0,3123.23,8.0,,5.0,84.14,1.0,,19.0,78.06,2.0,2.0,,80.6,,82.6,7.0,2022-01-20
2508.0,Payer C,,130.0,23.0,33.0,,16.38,9.96,127.49,40.0,30000.0,6.0,81.03,5.0,86.83,3.0,,13.0,86.32,3.0,2.0,2.38,83.92,31.0,73.89,7.0,
2509.0,Payer A,,102.0,39.0,50.0,19.0,19.79,13.09,,44.0,1596.36,,83.0,9.0,84.57,,73.85,32.0,64.82,1.0,0.0,1.43,94.24,32.0,52.08,,2021-02-25
2510.0,Payer C,Surgery,235.0,37.0,,25.0,20.67,8.41,64.87,54.0,1088.56,,94.66,6.0,92.51,4.0,83.77,12.0,84.43,,2.0,2.67,93.24,33.0,,9.0,2022-11-17
2511.0,Payer B,,123.0,23.0,72.0,28.0,11.04,8.89,84.86,45.0,1875.34,7.0,94.2,9.0,80.79,4.0,64.83,34.0,78.44,1.0,4.0,4.94,97.68,49.0,66.31,7.0,2023-04-15
,Payer C,,114.0,32.0,60.0,20.0,15.25,12.56,108.37,32.0,1429.89,11.0,80.37,6.0,83.55,2.0,71.44,25.0,71.71,1.0,20.0,3.62,95.74,41.0,71.08,5.0,
2513.0,Payer C,Cardiology,270.0,20.0,50.0,20.0,17.42,,137.06,40.0,4141.78,11.0,87.13,6.0,85.87,1.0,73.99,30.0,85.65,3.0,,2.76,83.16,42.0,79.61,5.0,2021-11-17
,Payer A,Radiology,258.0,22.0,55.0,12.0,21.39,13.65,76.87,40.0,1449.99,9.0,76.69,8.0,93.67,2.0,68.95,20.0,65.85,1.0,0.0,1.33,70.57,37.0,73.84,8.0,2021-12-19
2515.0,Payer A,Surgery,144.0,35.0,70.0,11.0,20.23,9.3,62.12,39.0,30000.0,,73.82,5.0,97.52,,,18.0,85.73,1.0,4.0,1.85,77.1,26.0,61.7,,2022-05-11
2516.0,Payer C,Oncology,293.0,23.0,64.0,10.0,24.76,10.81,105.88,31.0,2542.63,12.0,89.21,5.0,95.97,2.0,62.34,10.0,77.56,3.0,0.0,3.3,88.3,35.0,73.98,8.0,2022-01-27
2517.0,Payer A,Cardiology,,35.0,67.0,6.0,5.16,12.57,67.65,49.0,1293.51,8.0,80.9,7.0,,1.0,65.94,,62.28,1.0,,2.99,85.04,27.0,53.33,,2023-07-15
2518.0,Payer B,Oncology,,38.0,53.0,26.0,13.75,7.66,111.04,34.0,4250.92,5.0,74.43,9.0,,2.0,70.06,21.0,83.41,1.0,0.0,1.08,77.2,24.0,50.21,7.0,2020-02-23
2519.0,Payer B,Oncology,207.0,20.0,40.0,17.0,10.12,13.9,76.35,52.0,3318.52,5.0,88.97,8.0,80.6,3.0,83.88,39.0,94.24,,3.0,1.34,73.95,47.0,66.06,7.0,2020-03-23
2520.0,,,214.0,24.0,70.0,16.0,7.4,14.79,73.1,52.0,1943.05,13.0,92.88,5.0,86.21,1.0,65.47,33.0,65.5,1.0,1.0,2.42,76.48,31.0,80.29,6.0,2021-06-27
2521.0,Payer B,Surgery,202.0,38.0,58.0,19.0,23.23,9.94,89.92,54.0,4578.72,,93.33,7.0,96.12,1.0,,11.0,90.62,1.0,1.0,1.56,77.79,27.0,82.91,9.0,2021-01-19
,,Cardiology,224.0,30.0,76.0,13.0,,14.37,109.32,58.0,1181.03,5.0,84.91,8.0,89.13,1.0,61.95,24.0,66.81,2.0,0.0,4.83,96.02,30.0,,6.0,
2523.0,Payer C,Oncology,,32.0,32.0,6.0,,5.01,104.53,37.0,,6.0,81.99,6.0,83.0,1.0,76.71,39.0,91.06,3.0,3.0,1.14,91.31,28.0,84.72,9.0,2020-08-10
2524.0,Payer C,Cardiology,129.0,39.0,30.0,21.0,5.77,13.94,74.47,42.0,4008.19,14.0,73.55,5.0,88.77,3.0,,33.0,52.56,2.0,3.0,,86.57,,55.04,9.0,
2525.0,Payer B,Oncology,245.0,24.0,48.0,9.0,10.5,8.11,139.11,44.0,3837.51,11.0,89.82,9.0,83.96,1.0,85.97,29.0,50.36,3.0,,3.63,70.63,39.0,88.56,7.0,
2526.0,Payer A,Oncology,213.0,120.0,75.0,15.0,,8.11,60.99,31.0,2157.09,6.0,93.63,8.0,87.86,3.0,84.57,25.0,55.66,1.0,2.0,2.63,94.64,34.0,86.87,,2021-03-19
2527.0,Payer A,Cardiology,296.0,23.0,78.0,26.0,10.88,7.28,53.95,41.0,30000.0,5.0,92.24,7.0,89.76,3.0,68.56,11.0,93.7,2.0,4.0,3.16,,35.0,73.97,,2020-03-29
2528.0,,Radiology,216.0,120.0,51.0,23.0,,8.17,110.27,53.0,4432.31,14.0,88.79,9.0,86.99,2.0,64.11,22.0,76.69,2.0,,2.64,88.82,48.0,,5.0,2023-03-30
2529.0,Payer C,Cardiology,266.0,23.0,43.0,28.0,6.05,7.13,62.34,37.0,2254.79,13.0,70.11,,98.74,2.0,64.68,27.0,79.71,,,3.29,71.97,26.0,68.17,5.0,
,Payer B,Radiology,159.0,39.0,78.0,11.0,13.55,14.06,100.49,50.0,1782.85,,80.19,,91.25,1.0,89.07,,,2.0,2.0,1.61,94.45,25.0,57.17,7.0,2023-03-27
2531.0,Payer C,Oncology,197.0,37.0,43.0,6.0,23.64,13.99,145.18,58.0,3064.25,8.0,80.27,7.0,96.86,4.0,80.2,31.0,52.53,3.0,20.0,1.48,94.96,36.0,75.14,5.0,2020-09-25
2532.0,Payer A,,270.0,37.0,73.0,20.0,10.72,,119.86,48.0,4640.91,8.0,,,95.21,4.0,61.28,28.0,69.36,1.0,20.0,3.11,96.5,,57.6,9.0,2022-06-26
2533.0,Payer C,Radiology,225.0,35.0,45.0,16.0,13.54,6.43,111.75,54.0,,5.0,71.64,7.0,93.22,1.0,64.1,20.0,82.15,1.0,0.0,1.29,,47.0,69.27,5.0,2023-11-04
2534.0,,,272.0,28.0,,27.0,7.04,13.62,107.48,57.0,4063.22,7.0,83.28,5.0,89.94,3.0,74.57,23.0,70.23,2.0,20.0,2.17,81.82,38.0,58.23,8.0,2022-11-21
2535.0,Payer A,Radiology,250.0,37.0,42.0,19.0,14.87,8.99,67.95,52.0,3289.89,5.0,73.4,7.0,80.04,2.0,66.23,39.0,51.61,1.0,3.0,4.71,72.19,11.0,57.27,5.0,2020-03-27
2536.0,Payer B,Radiology,296.0,21.0,67.0,,18.93,6.69,93.26,30.0,2701.8,9.0,86.56,9.0,,,84.11,35.0,82.55,1.0,2.0,4.5,75.82,49.0,59.92,5.0,2020-04-02
2537.0,Payer B,Oncology,193.0,23.0,78.0,,10.42,10.11,84.25,,30000.0,9.0,89.81,5.0,87.12,1.0,77.2,12.0,69.57,3.0,1.0,4.33,,23.0,51.17,8.0,2022-03-12
2538.0,Payer C,Surgery,233.0,31.0,41.0,17.0,10.93,9.17,145.31,39.0,4863.3,13.0,86.05,5.0,82.36,3.0,78.38,18.0,50.96,1.0,3.0,3.03,71.88,21.0,78.64,8.0,2021-08-17
2539.0,Payer B,Radiology,283.0,26.0,67.0,27.0,21.84,7.19,74.23,42.0,1916.82,12.0,,8.0,88.89,2.0,73.88,14.0,58.53,1.0,0.0,1.11,74.63,33.0,62.27,7.0,2023-01-17
2540.0,Payer C,Cardiology,221.0,34.0,68.0,,5.21,12.21,97.15,34.0,1574.59,,85.19,9.0,94.71,4.0,67.68,23.0,,1.0,2.0,1.49,,,77.92,8.0,2020-06-02
2541.0,Payer A,Cardiology,207.0,26.0,62.0,17.0,17.73,11.31,143.81,51.0,4651.53,9.0,74.75,,99.23,4.0,77.68,16.0,75.53,1.0,4.0,4.68,86.36,48.0,76.14,,2022-06-14
,Payer C,Oncology,103.0,36.0,62.0,,12.88,6.0,128.92,38.0,3675.81,11.0,79.57,6.0,,1.0,81.51,21.0,59.32,2.0,,4.35,,27.0,52.64,9.0,2023-03-27
2543.0,Payer A,Surgery,192.0,35.0,58.0,7.0,10.97,,146.45,39.0,30000.0,6.0,93.92,7.0,90.85,1.0,71.13,30.0,,3.0,3.0,2.51,,34.0,62.48,6.0,2022-06-08
2544.0,Payer C,Oncology,250.0,38.0,34.0,5.0,18.15,10.58,110.83,43.0,3293.04,11.0,77.2,7.0,97.02,1.0,,27.0,87.53,3.0,2.0,3.92,74.04,46.0,,5.0,2021-02-21
2545.0,Payer B,Surgery,105.0,28.0,35.0,19.0,21.69,7.5,83.38,53.0,3982.46,5.0,71.57,9.0,86.68,1.0,,20.0,90.39,3.0,0.0,4.42,,15.0,86.74,8.0,
2546.0,Payer C,Radiology,131.0,,60.0,17.0,16.17,7.06,132.66,,4092.13,9.0,79.62,7.0,82.85,1.0,64.46,36.0,89.77,,3.0,3.48,93.79,39.0,66.05,5.0,2023-08-05
2547.0,Payer C,Radiology,205.0,36.0,45.0,9.0,5.62,6.36,79.15,40.0,4679.58,,79.16,9.0,85.64,4.0,76.36,33.0,84.75,2.0,,4.41,78.92,40.0,70.19,9.0,2022-02-06
,,Radiology,245.0,24.0,60.0,29.0,14.23,9.25,66.48,43.0,,14.0,81.76,5.0,97.98,1.0,70.45,18.0,77.09,3.0,0.0,1.98,76.14,43.0,,6.0,2020-06-07
2549.0,Payer B,Radiology,114.0,21.0,54.0,17.0,14.26,6.36,120.63,59.0,2173.64,5.0,84.01,7.0,,2.0,81.08,,77.53,2.0,1.0,2.85,70.67,28.0,82.13,8.0,2020-11-07
2550.0,,Cardiology,267.0,39.0,77.0,26.0,,9.16,113.9,,30000.0,13.0,94.81,7.0,86.58,3.0,60.56,27.0,97.67,,2.0,,88.72,37.0,86.93,7.0,
2551.0,Payer B,Cardiology,221.0,35.0,75.0,9.0,18.42,,137.89,58.0,2662.91,13.0,88.91,9.0,89.29,4.0,80.11,,93.89,2.0,3.0,3.52,83.07,17.0,69.89,7.0,2021-08-03
2552.0,Payer C,Oncology,195.0,33.0,62.0,23.0,5.39,11.57,,50.0,30000.0,5.0,70.9,9.0,96.94,,63.09,29.0,82.49,1.0,20.0,4.95,77.76,20.0,57.75,8.0,2021-03-10
2553.0,Payer C,Surgery,105.0,33.0,42.0,25.0,15.04,12.85,135.72,45.0,2679.94,8.0,87.82,6.0,98.75,3.0,61.94,22.0,73.42,1.0,2.0,4.38,85.59,25.0,80.58,8.0,2023-10-09
2554.0,Payer B,Radiology,211.0,,,,16.77,,56.0,49.0,,12.0,90.61,7.0,,1.0,81.74,24.0,86.45,3.0,2.0,1.22,,35.0,55.02,9.0,2022-10-02
2555.0,Payer C,,219.0,22.0,53.0,22.0,11.87,11.8,116.45,59.0,2877.71,,,8.0,98.64,3.0,79.21,17.0,53.14,,4.0,1.68,77.42,10.0,66.73,6.0,2020-09-21
2556.0,Payer B,Surgery,222.0,26.0,39.0,25.0,18.37,14.38,128.47,46.0,,12.0,,9.0,,2.0,86.85,14.0,97.23,3.0,,,,40.0,75.13,,2022-10-28
2557.0,Payer C,Surgery,290.0,34.0,70.0,26.0,9.56,11.38,148.19,,4197.14,14.0,77.84,8.0,83.14,1.0,75.59,14.0,77.38,1.0,0.0,,77.8,36.0,77.67,7.0,2022-10-14
2558.0,Payer A,Oncology,166.0,38.0,60.0,14.0,,8.64,87.47,55.0,2973.31,13.0,90.98,5.0,98.99,4.0,75.9,16.0,75.14,1.0,1.0,1.64,99.6,18.0,79.32,6.0,2020-04-16
2559.0,Payer B,Surgery,205.0,39.0,42.0,28.0,,9.49,66.99,36.0,1660.95,13.0,89.44,5.0,90.19,2.0,81.21,21.0,64.54,3.0,2.0,3.67,91.97,35.0,,8.0,2022-07-20
2560.0,Payer C,Radiology,238.0,21.0,32.0,12.0,11.96,13.61,135.29,46.0,2658.75,5.0,83.4,8.0,83.72,,,29.0,50.17,,0.0,3.15,88.08,15.0,89.27,6.0,2022-01-08
2561.0,Payer C,Radiology,142.0,38.0,79.0,19.0,11.93,6.31,81.75,49.0,4145.18,13.0,72.95,,89.76,,61.11,,53.06,1.0,0.0,4.22,75.17,16.0,57.14,9.0,2022-12-28
2562.0,Payer A,Radiology,244.0,,63.0,25.0,16.91,8.26,109.82,51.0,2651.44,8.0,86.29,8.0,95.66,1.0,66.9,18.0,63.15,,2.0,2.28,87.59,22.0,53.84,8.0,2021-03-15
2563.0,Payer B,,195.0,,78.0,29.0,24.42,10.77,88.99,40.0,3786.12,12.0,71.64,6.0,96.54,4.0,,13.0,77.08,3.0,1.0,2.32,94.01,19.0,76.56,8.0,2023-03-07
,Payer C,Radiology,,120.0,57.0,24.0,24.66,11.76,90.23,41.0,3028.85,13.0,72.51,6.0,97.28,,70.07,17.0,54.18,3.0,4.0,1.6,92.11,40.0,86.4,6.0,2023-10-13
2565.0,,Oncology,290.0,37.0,48.0,,16.59,12.63,123.25,54.0,1964.89,7.0,78.28,5.0,91.39,4.0,88.3,28.0,98.6,1.0,2.0,3.61,93.34,46.0,72.38,8.0,2022-04-21
2566.0,,Radiology,295.0,35.0,52.0,27.0,,8.18,86.15,56.0,4184.6,10.0,79.28,8.0,,2.0,84.15,31.0,70.55,1.0,20.0,3.84,79.53,27.0,73.82,6.0,2022-06-13
2567.0,Payer B,Oncology,,,74.0,26.0,23.01,,,53.0,,7.0,81.55,8.0,,3.0,88.08,10.0,65.82,2.0,4.0,1.55,79.85,20.0,71.54,6.0,2021-10-12
2568.0,Payer C,Radiology,140.0,120.0,61.0,8.0,16.4,14.55,51.43,31.0,3099.56,5.0,78.48,8.0,92.14,1.0,89.96,,76.26,2.0,3.0,2.02,86.17,19.0,51.71,8.0,2021-06-03
2569.0,,Cardiology,232.0,26.0,42.0,6.0,12.32,5.76,82.46,56.0,1835.56,,70.84,5.0,95.17,2.0,73.01,20.0,53.25,,2.0,1.62,78.36,37.0,77.25,7.0,2022-12-27
2570.0,Payer C,Cardiology,,33.0,62.0,,21.58,5.96,81.9,48.0,1268.26,10.0,73.94,8.0,88.51,2.0,66.81,32.0,92.52,2.0,2.0,3.99,73.39,30.0,64.33,9.0,2020-05-25
2571.0,Payer C,Cardiology,297.0,31.0,63.0,10.0,,9.95,124.88,55.0,3011.74,9.0,72.88,9.0,81.47,1.0,76.8,22.0,73.01,3.0,1.0,1.84,83.83,,87.43,6.0,2023-06-27
